[INFO] [2023-08-01 15:21:51,674] [Extractor]: Archivo datos_basicos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 15:21:51,716] [Extractor]: Archivo datos_basicos.json convertido a df
[INFO] [2023-08-01 15:21:52,932] [Extractor]: Archivo datos_contratos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 15:21:52,969] [Extractor]: Archivo datos_contratos.json convertido a df
[INFO] [2023-08-01 15:21:52,969] [Quality]: La columna bpin tiene únicos
[INFO] [2023-08-01 15:21:52,980] [CleanUp1]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 15:21:52,991] [CleanUp2]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 15:22:40,132] [Extractor]: Archivo datos_basicos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 15:22:40,175] [Extractor]: Archivo datos_basicos.json convertido a df
[INFO] [2023-08-01 15:22:41,391] [Extractor]: Archivo datos_contratos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 15:22:41,434] [Extractor]: Archivo datos_contratos.json convertido a df
[INFO] [2023-08-01 15:22:41,434] [Quality]: La columna bpin tiene únicos
[INFO] [2023-08-01 15:22:41,444] [CleanUp1]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 15:22:41,444] [CleanUp2]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 15:23:34,436] [Extractor]: Archivo datos_basicos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 15:23:34,468] [Extractor]: Archivo datos_basicos.json convertido a df
[INFO] [2023-08-01 15:23:35,599] [Extractor]: Archivo datos_contratos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 15:23:35,636] [Extractor]: Archivo datos_contratos.json convertido a df
[INFO] [2023-08-01 15:23:35,636] [Quality]: La columna bpin tiene únicos
[INFO] [2023-08-01 15:23:35,646] [CleanUp1]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 15:23:35,652] [CleanUp2]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 15:24:13,348] [Extractor]: Archivo datos_basicos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 15:24:13,397] [Extractor]: Archivo datos_basicos.json convertido a df
[INFO] [2023-08-01 15:24:14,592] [Extractor]: Archivo datos_contratos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 15:24:14,628] [Extractor]: Archivo datos_contratos.json convertido a df
[INFO] [2023-08-01 15:24:14,628] [Quality]: La columna bpin tiene únicos
[INFO] [2023-08-01 15:24:14,642] [CleanUp1]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 15:24:14,651] [CleanUp2]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 15:24:54,373] [Extractor]: Archivo datos_basicos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 15:24:54,414] [Extractor]: Archivo datos_basicos.json convertido a df
[INFO] [2023-08-01 15:24:55,674] [Extractor]: Archivo datos_contratos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 15:24:55,700] [Extractor]: Archivo datos_contratos.json convertido a df
[INFO] [2023-08-01 15:24:55,700] [Quality]: La columna bpin tiene únicos
[INFO] [2023-08-01 15:24:55,711] [CleanUp1]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 15:24:55,716] [CleanUp2]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 15:27:05,253] [Extractor]: Archivo datos_basicos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 15:27:05,285] [Extractor]: Archivo datos_basicos.json convertido a df
[INFO] [2023-08-01 15:27:06,831] [Extractor]: Archivo datos_contratos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 15:27:06,857] [Extractor]: Archivo datos_contratos.json convertido a df
[INFO] [2023-08-01 15:27:06,857] [Quality]: La columna bpin tiene únicos
[INFO] [2023-08-01 15:27:06,868] [CleanUp1]: El archivo se ha limpiado con éxito
